epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_H_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_H_f_mae,training_O_f_mae,training_psavg_f_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_H_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_H_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_e/N_mae
         1,  270.659,   0.0005,          0.33066,         0.002097,          0.33276,        0.374,        0.482,        0.625,        0.553,        0.338,        0.448,        0.393,       0.0329,         0.087292,       7.6779e-05,         0.087368,        0.211,         0.25,        0.318,        0.284,        0.191,         0.25,        0.221,      0.00692
         2,  514.000,   0.0005,         0.053051,       8.2015e-05,         0.053133,        0.162,        0.194,        0.249,        0.221,        0.146,        0.193,         0.17,      0.00653,          0.04059,       1.9919e-05,          0.04061,        0.142,         0.17,        0.217,        0.193,        0.128,         0.17,        0.149,      0.00324
         3,  757.831,   0.0005,         0.029324,       5.8563e-05,         0.029382,         0.12,        0.147,         0.18,        0.164,         0.11,         0.14,        0.125,      0.00547,         0.026797,       1.1411e-05,         0.026808,        0.115,        0.139,        0.175,        0.157,        0.104,        0.136,         0.12,      0.00257
         4, 1003.676,   0.0005,         0.022024,       6.4575e-05,         0.022089,        0.104,        0.127,        0.157,        0.142,       0.0943,        0.123,        0.108,      0.00576,         0.020619,       7.5388e-06,         0.020626,          0.1,        0.122,        0.154,        0.138,       0.0904,         0.12,        0.105,      0.00204
         5, 1246.491,   0.0005,         0.017362,        7.426e-05,         0.017436,       0.0918,        0.112,         0.14,        0.126,       0.0833,        0.109,        0.096,      0.00626,         0.016505,       6.3942e-06,         0.016511,       0.0897,        0.109,        0.138,        0.123,       0.0806,        0.108,       0.0943,      0.00188
         6, 1493.926,   0.0005,         0.014728,       4.6222e-05,         0.014774,       0.0845,        0.103,        0.129,        0.116,       0.0767,          0.1,       0.0884,      0.00494,         0.013817,       5.7404e-06,         0.013823,       0.0821,       0.0992,        0.127,        0.113,       0.0737,       0.0989,       0.0863,       0.0018
         7, 1742.800,   0.0005,         0.012606,       5.2641e-05,         0.012659,       0.0783,       0.0956,         0.12,        0.108,        0.071,       0.0929,       0.0819,      0.00534,         0.011996,       4.9882e-06,         0.012001,       0.0766,       0.0925,        0.118,        0.105,       0.0689,        0.092,       0.0804,       0.0017
         8, 1999.999,   0.0005,         0.011219,       3.5106e-05,         0.011254,       0.0739,       0.0902,        0.113,        0.102,       0.0671,       0.0876,       0.0773,      0.00431,         0.010678,       4.7039e-06,         0.010682,       0.0723,       0.0872,        0.111,       0.0993,        0.065,       0.0867,       0.0759,      0.00164
         9, 2249.946,   0.0005,         0.010171,       5.4366e-05,         0.010225,       0.0704,       0.0859,        0.107,       0.0966,       0.0639,       0.0834,       0.0737,      0.00529,        0.0096845,       4.4383e-06,        0.0096889,       0.0688,       0.0831,        0.106,       0.0945,        0.062,       0.0825,       0.0722,       0.0016
        10, 2491.034,   0.0005,        0.0094028,       3.9788e-05,        0.0094425,       0.0677,       0.0826,        0.103,       0.0929,       0.0615,         0.08,       0.0708,      0.00442,        0.0088932,       4.4162e-06,        0.0088977,       0.0659,       0.0797,        0.101,       0.0906,       0.0594,       0.0789,       0.0692,      0.00159
